Anbieter	E-Mail	Quell-URL	Zitat
ING Deutschland (Direkt-Depot)	impressum@ing.de	https://www.ing.de/ueber-uns/unternehmen/impressum/	"E-Mail-Adresse: impressum@ing.de ... Für Kundenanliegen nutzen Sie bitte das Kontaktformular."
1822direkt (Aktiv-Depot)	info@1822direkt.de	https://www.1822direkt.de/impressum/	"Die E-Mail-Adresse der 1822direkt lautet: info@1822direkt.de" (bestaetigt)
BUX (Plus/Prime)	info@getbux.com	https://bux.com/de/uber-bux/	"Impressum Angaben gemaess § 5 TMG ... Allgemeine E-Mail-Adresse: info@getbux.com"
norisbank (Girokonto)	service@norisbank.de	https://www.norisbank.de/service/kontakt-und-wissen/impressum.html	"Internet: https://www.norisbank.de/ E-Mail: service@norisbank.de"
Bitpanda (Depot und Krypto)	kein Mail-Weg	https://www.bitpanda.com/de/legal/legal-notice	"Bitpanda Asset Management GmbH ... Kontakt Bitte verwende unser Kontaktformular um uns eine Nachricht zu senden."
Trade Republic (Girokonto/Krypto)	beschwerde@traderepublic.com (nur Beschwerden; allgemeine Fragen kein Mail-Weg)	https://traderepublic.com/de-de/imprint	"Kundenbeschwerden Du erreichst uns via E-Mail oder auch per Post: beschwerde@traderepublic.com" / "Wenn du Fragen hast, findest du am einfachsten eine Antwort in unserem Help Center"
Revolut Deutschland (Krypto)	support@revolut.com	https://cdn.revolut.com/terms_and_conditions/pdf/impressum_ae40ccff_1.0.2_1733914542_de.pdf	"E-Mail Kundenservice: support@revolut.com oder ueber den In-App Chat"
Wise (Konto)	kein Mail-Weg	https://wise.com/p/imprint	"Wise Europe SA ... Contact: Wise Help Center | Complaints: Wise Complaints Process"
Coinbase Deutschland	impressum@coinbase.com	https://www.coinbase.com/en-de/impressum	"Coinbase Luxembourg S.A. ... E-Mail: impressum@coinbase.com"
Crypto.com	kein Mail-Weg (nur Datenschutz: dpo@crypto.com)	https://crypto.com/document/mco_services	"16.1. If you have any feedback, questions or complaints, please contact us via live Crypto.com in-app chat or at https://chat.crypto.com/."
Robinhood (Deutschland/EU)	complaints_eu@robinhood.com (nur Beschwerden)	https://robinhood.com/eu/en/support/articles/complaints/	"you can submit a formal complaint by filling out this form (English / Lithuanian) and sending it to complaints_eu@robinhood.com"
Interactive Brokers Deutschland	kein Mail-Weg	https://www.interactivebrokers.ie/de/support/customer-service.php?p=contact	"Kundinnen und Kunden, die bereits ein Konto haben ..., koennen schriftliche Anfragen ueber das Mitteilungscenter im Client Portal oder ueber den folgenden Link einreichen."
XTB Deutschland	info@xtb.de	https://www.xtb.com/de/impressum	"Impressum XTB S.A. German Branch ... Email: info@xtb.de"
Targobank (Online-Konto)	kontakt@targobank.de	https://www.targobank.de/de/impressum/index.html	"Impressum Anbieter TARGOBANK AG ... E-Mail: kontakt@targobank.de*"
